Model,Scene,LPIPS,Masked LPIPS,Masked PSNR,Masked SSIM,PSNR,SSIM
beta_splatting,treehill,0.3213532865047455,0.3638155162334442,20.367820739746094,0.6214410066604614,25.267169952392578,0.7271363735198975
beta_splatting,mp360 average,0.1990211241775089,0.1834675669670105,24.75925890604655,0.8239916894170973,29.858764436509873,0.8623254365391202
QGS,Barn,0.22068800032138824,0.23826004564762115,19.883358001708984,0.7302859425544739,25.94445037841797,0.8503893613815308
QGS,Caterpillar,0.2783365249633789,0.324397474527359,18.432859420776367,0.6200910210609436,21.31900405883789,0.7561022639274597
QGS,Courthouse,0.31742095947265625,0.4154626429080963,16.65967559814453,0.5069713592529297,20.990053176879883,0.7698336243629456
QGS,Ignatius,nan,nan,nan,nan,nan,nan
QGS,Meetingroom,0.25788354873657227,0.2916608452796936,16.9453125,0.6377431750297546,22.339479446411133,0.840333878993988
QGS,Truck,0.20470702648162842,0.2220837026834488,18.70301628112793,0.712272584438324,23.536182403564453,0.8470419645309448
QGS,tnt average,0.2558072119951248,0.29837294220924376,18.124844360351563,0.6414728164672852,22.825833892822267,0.8127402186393737
QGS,bicycle,0.3855045437812805,0.392400324344635,20.538930892944336,0.5531640648841858,23.248851776123047,0.6120738387107849
QGS,bonsai,0.197892963886261,0.14105133712291718,24.903095245361328,0.8726232647895813,30.4299373626709,0.9247576594352722
QGS,counter,0.22861149907112122,0.19926543533802032,20.907331466674805,0.7781103253364563,27.887468338012695,0.8758651614189148
QGS,flowers,0.5149545669555664,0.5761523842811584,16.576139450073242,0.3077894449234009,18.917991638183594,0.4174918830394745
QGS,garden,0.2941835820674896,0.3005564510822296,22.06658172607422,0.6808639168739319,24.5430850982666,0.7083443999290466
QGS,kitchen,0.15852336585521698,0.13828317821025848,26.58808708190918,0.8815915584564209,29.281455993652344,0.8962023854255676
QGS,room,0.22321979701519012,0.22914081811904907,24.66423797607422,0.8016310334205627,30.68181037902832,0.9025241136550903
QGS,stump,0.36806803941726685,0.35990652441978455,21.8189697265625,0.6199078559875488,24.68504524230957,0.6535887122154236
QGS,treehill,0.4989606440067291,0.5487578511238098,18.39879608154297,0.3931048810482025,21.360618591308594,0.506553590297699
QGS,mp360 average,0.3188798891173469,0.32061270044909584,21.829129960801865,0.6543095939689212,25.670696046617294,0.7219335271252526
3dcs,Barn,0.16376391053199768,0.15926221013069153,23.18938446044922,0.8133360147476196,29.16057014465332,0.8765620589256287
3dcs,Caterpillar,0.23890124261379242,0.27572527527809143,20.219593048095703,0.681476891040802,23.395654678344727,0.7887884974479675
3dcs,Courthouse,0.24074354767799377,0.3038201630115509,18.814725875854492,0.6363054513931274,22.79035186767578,0.8088971376419067
3dcs,Ignatius,0.19910867512226105,0.20775221288204193,19.869089126586914,0.7127617597579956,22.823442459106445,0.7913867831230164
