Model,Dataset,Scene,Metric,Standard Value,Masked Value,Difference
radegs,mp360,kitchen,LPIPS,0.0619041174650192,0.0570724569261074,-0.004831660538911799
radegs,tnt,Meetingroom,LPIPS,0.2397952526807785,0.2238728106021881,-0.015922442078590393
radegs,mp360,room,LPIPS,0.0972452163696289,0.0856163203716278,-0.011628895998001113
radegs,mp360,stump,LPIPS,0.2669331133365631,0.2039653062820434,-0.06296780705451971
radegs,mp360,treehill,LPIPS,0.3482478857040405,0.3780449628829956,0.029797077178955078
radegs,tnt,Truck,LPIPS,0.2050565630197525,0.1593002378940582,-0.0457563251256943
linprim,tnt,Barn,PSNR,26.85076713562012,20.88879776000977,5.961969375610352
linprim,mp360,bicycle,PSNR,24.66069602966309,22.264631271362305,2.396064758300785
linprim,mp360,bonsai,PSNR,31.07020378112793,26.16287422180176,4.907329559326168
linprim,tnt,Caterpillar,PSNR,21.908796310424805,19.37364387512207,2.5351524353027344
linprim,mp360,counter,PSNR,28.407915115356445,20.837520599365234,7.570394515991211
linprim,tnt,Courthouse,PSNR,21.340030670166016,17.346330642700195,3.9937000274658203
linprim,mp360,flowers,PSNR,21.52843475341797,19.21265411376953,2.3157806396484375
linprim,mp360,garden,PSNR,26.768320083618164,24.666353225708008,2.1019668579101562
linprim,tnt,Ignatius,PSNR,20.852771759033203,18.438278198242188,2.4144935607910156
linprim,mp360,kitchen,PSNR,29.93701934814453,28.230493545532227,1.7065258026123047
linprim,tnt,Meetingroom,PSNR,23.748920440673828,17.89263916015625,5.856281280517578
linprim,mp360,room,PSNR,29.963382720947266,24.131690979003903,5.831691741943363
linprim,mp360,stump,PSNR,25.21560859680176,23.19573211669922,2.0198764801025426
linprim,mp360,treehill,PSNR,21.82849884033203,18.895353317260746,2.9331455230712855
linprim,tnt,Truck,PSNR,24.089635848999023,19.506336212158203,4.58329963684082
beta_splatting,tnt,Barn,PSNR,30.05939674377441,23.65946388244629,6.3999328613281214
beta_splatting,mp360,bicycle,PSNR,27.18563461303711,23.996875762939453,3.1887588500976562
beta_splatting,mp360,bonsai,PSNR,34.26286697387695,27.226919174194336,7.035947799682617
beta_splatting,tnt,Caterpillar,PSNR,25.695810317993164,22.03304100036621,3.662769317626953
beta_splatting,mp360,counter,PSNR,32.226688385009766,23.635427474975582,8.591260910034183
beta_splatting,tnt,Courthouse,PSNR,23.712915420532227,19.06199836730957,4.650917053222656
beta_splatting,mp360,flowers,PSNR,23.642980575561523,20.50557327270508,3.1374073028564418
beta_splatting,mp360,garden,PSNR,28.00697135925293,24.813722610473636,3.1932487487792933
beta_splatting,tnt,Ignatius,PSNR,25.096445083618164,21.45830345153809,3.6381416320800746
beta_splatting,mp360,kitchen,PSNR,33.34763717651367,30.290956497192383,3.056680679321289
beta_splatting,tnt,Meetingroom,PSNR,28.496597290039062,20.549724578857425,7.946872711181637
beta_splatting,mp360,room,PSNR,34.27171325683594,25.788484573364254,8.483228683471683
beta_splatting,mp360,stump,PSNR,30.5172176361084,26.20755386352539,4.309663772583008
beta_splatting,mp360,treehill,PSNR,25.267169952392575,20.367820739746094,4.899349212646481
beta_splatting,tnt,Truck,PSNR,27.47321319580078,21.80419158935547,5.6690216064453125
QGS,tnt,Barn,PSNR,25.94445037841797,19.883358001708984,6.061092376708984
QGS,mp360,bicycle,PSNR,23.248851776123047,20.538930892944336,2.709920883178711
QGS,mp360,bonsai,PSNR,30.4299373626709,24.90309333801269,5.526844024658207
QGS,tnt,Caterpillar,PSNR,21.31900405883789,18.432859420776367,2.8861446380615234
QGS,mp360,counter,PSNR,27.88746833801269,20.907331466674805,6.980136871337887
QGS,tnt,Courthouse,PSNR,20.990053176879883,16.65967559814453,4.330377578735352
QGS,mp360,flowers,PSNR,18.917991638183597,16.576139450073242,2.341852188110355
QGS,mp360,garden,PSNR,24.5430850982666,22.06658172607422,2.476503372192383
QGS,tnt,Ignatius,PSNR,21.0199031829834,19.138769149780277,1.8811340332031214
QGS,mp360,kitchen,PSNR,29.281455993652344,26.58808708190918,2.693368911743164
QGS,tnt,Meetingroom,PSNR,22.339479446411133,16.9453125,5.394166946411133
QGS,mp360,room,PSNR,30.68181037902832,24.66423797607422,6.017572402954102
QGS,mp360,stump,PSNR,24.68504524230957,21.818967819213867,2.866077423095703
QGS,mp360,treehill,PSNR,21.360618591308597,18.39879608154297,2.9618225097656286
QGS,tnt,Truck,PSNR,23.536182403564453,18.70301628112793,4.833166122436523
3dcs,tnt,Barn,PSNR,29.16057014465332,23.189382553100582,5.971187591552738
3dcs,mp360,bicycle,PSNR,24.676170349121094,22.1966495513916,2.479520797729492
3dcs,mp360,bonsai,PSNR,32.55391311645508,26.99830436706543,5.555608749389648
3dcs,tnt,Caterpillar,PSNR,23.395654678344727,20.219593048095703,3.1760616302490234
3dcs,mp360,counter,PSNR,29.05555534362793,21.198808670043945,7.856746673583984
3dcs,tnt,Courthouse,PSNR,22.79035186767578,18.81472587585449,3.9756259918212926
3dcs,mp360,flowers,PSNR,20.455717086791992,18.28655815124512,2.1691589355468714
3dcs,mp360,garden,PSNR,27.09023094177246,24.913589477539062,2.1766414642333984
3dcs,tnt,Ignatius,PSNR,22.823442459106445,19.869089126586918,2.9543533325195277
3dcs,mp360,kitchen,PSNR,31.828155517578125,29.041170120239254,2.7869853973388707
3dcs,tnt,Meetingroom,PSNR,26.625131607055664,19.38374137878418,7.241390228271484
3dcs,mp360,room,PSNR,31.59759330749512,25.16748809814453,6.4301052093505895
3dcs,mp360,stump,PSNR,26.046527862548828,23.6051025390625,2.441425323486328
3dcs,mp360,treehill,PSNR,21.692289352416992,18.952280044555664,2.740009307861328
3dcs,tnt,Truck,PSNR,25.659103393554688,20.345008850097656,5.314094543457031
radfoam,tnt,Barn,PSNR,27.041805267333984,21.11492156982422,5.926883697509766
radfoam,mp360,bicycle,PSNR,24.22317314147949,21.56040573120117,2.6627674102783203
radfoam,mp360,bonsai,PSNR,32.17794418334961,26.99852561950684,5.17941856384277
radfoam,tnt,Caterpillar,PSNR,21.845796585083008,18.7603702545166,3.0854263305664062
radfoam,mp360,counter,PSNR,28.53437042236328,21.727596282958984,6.806774139404297
radfoam,tnt,Courthouse,PSNR,21.65438461303711,18.12641906738281,3.5279655456543004
radfoam,mp360,flowers,PSNR,21.379777908325195,18.99437522888184,2.385402679443356
radfoam,mp360,garden,PSNR,26.55795288085937,24.148595809936523,2.409357070922848
radfoam,tnt,Ignatius,PSNR,21.13548469543457,18.28884506225586,2.846639633178711
radfoam,mp360,kitchen,PSNR,31.318775177001957,28.466630935668945,2.8521442413330114
radfoam,tnt,Meetingroom,PSNR,23.035938262939453,18.381282806396484,4.654655456542969
radfoam,mp360,room,PSNR,30.56431770324707,24.641586303710938,5.922731399536133
radfoam,mp360,stump,PSNR,25.40096664428711,22.96468734741211,2.436279296875
radfoam,mp360,treehill,PSNR,22.044883728027344,19.13488006591797,2.910003662109375
radfoam,tnt,Truck,PSNR,23.804733276367188,19.168437957763672,4.636295318603516
triangle_splatting2,tnt,Barn,PSNR,25.90428733825684,20.046600341796875,5.8576869964599645
triangle_splatting2,mp360,bicycle,PSNR,23.269990921020508,20.654691696166992,2.6152992248535156
triangle_splatting2,mp360,bonsai,PSNR,29.05521583557129,24.654539108276367,4.400676727294922
triangle_splatting2,tnt,Caterpillar,PSNR,20.50898551940918,18.04192924499512,2.467056274414059
triangle_splatting2,mp360,counter,PSNR,26.7314395904541,20.18412399291992,6.547315597534183
triangle_splatting2,tnt,Courthouse,PSNR,20.08987617492676,16.626434326171875,3.4634418487548864
triangle_splatting2,mp360,flowers,PSNR,19.72036361694336,17.53941535949707,2.180948257446289
