Model,Dataset,Scene,file_name,Metric,Standard Value,Masked1 Value,Masked2 Value,Masked3 Value,Masked4 Value,Difference1,Difference2,Difference3,Difference4
3dgs,MP360,room,3dgs_room_DSCF4755.JPG.png,SSIM,0.9438958168029785,0.9363714456558228,0.9335533380508423,0.9420790672302246,0.9476293921470642,0.007524371147155762,0.01034247875213623,0.0018167495727539062,-0.0037335753440856934
3dgs,MP360,room,3dgs_room_DSCF4763.JPG.png,SSIM,0.9427748322486877,0.9449357390403748,0.9345055222511292,0.9450199604034424,0.9190772771835327,-0.0021609067916870117,0.008269309997558594,-0.0022451281547546387,0.02369755506515503
3dgs,MP360,room,3dgs_room_DSCF4771.JPG.png,SSIM,0.9221276044845581,0.904865562915802,0.8933137059211731,0.897996187210083,0.8521411418914795,0.017262041568756104,0.02881389856338501,0.024131417274475098,0.06998646259307861
3dgs,MP360,room,3dgs_room_DSCF4779.JPG.png,SSIM,0.9379927515983582,0.9112920165061951,0.8949410319328308,0.8985074758529663,0.8763196468353271,0.026700735092163086,0.043051719665527344,0.039485275745391846,0.061673104763031006
3dgs,MP360,room,3dgs_room_DSCF4787.JPG.png,SSIM,0.8813517093658447,0.9027302861213684,0.884872555732727,0.8686067461967468,0.8000585436820984,-0.02137857675552368,-0.0035208463668823242,0.0127449631690979,0.08129316568374634
3dgs,MP360,room,3dgs_room_DSCF4795.JPG.png,SSIM,0.9205907583236694,0.922783613204956,0.9192879796028137,0.9239585995674133,0.8629991412162781,-0.002192854881286621,0.0013027787208557129,-0.0033678412437438965,0.05759161710739136
3dgs,MP360,room,3dgs_room_DSCF4803.JPG.png,SSIM,0.9455659985542297,0.9353464841842651,0.9197619557380676,0.912541389465332,0.9215506315231323,0.0102195143699646,0.02580404281616211,0.033024609088897705,0.024015367031097412
3dgs,MP360,room,3dgs_room_DSCF4811.JPG.png,SSIM,0.9241155385971069,0.9362900853157043,0.9379705190658569,0.924281656742096,0.7679697275161743,-0.012174546718597412,-0.01385498046875,-0.00016611814498901367,0.15614581108093262
3dgs,MP360,room,3dgs_room_DSCF4819.JPG.png,SSIM,0.933551549911499,0.9232991933822632,0.9185031652450562,0.8935908675193787,0.8867350220680237,0.01025235652923584,0.015048384666442871,0.03996068239212036,0.04681652784347534
3dgs,MP360,room,3dgs_room_DSCF4827.JPG.png,SSIM,0.9286928772926331,0.9303367733955383,0.9197498559951782,0.9226981401443481,0.9013385772705078,-0.0016438961029052734,0.008943021297454834,0.005994737148284912,0.027354300022125244
3dgs,MP360,room,3dgs_room_DSCF4835.JPG.png,SSIM,0.8670705556869507,0.8502749800682068,0.824120044708252,0.8307451605796814,0.7000484466552734,0.016795575618743896,0.04295051097869873,0.03632539510726929,0.16702210903167725
3dgs,MP360,room,3dgs_room_DSCF4843.JPG.png,SSIM,0.9293013215065002,0.9417957663536072,0.9323566555976868,0.9241408109664917,0.9115267395973206,-0.012494444847106934,-0.0030553340911865234,0.005160510540008545,0.017774581909179688
3dgs,MP360,room,3dgs_room_DSCF4851.JPG.png,SSIM,0.891243040561676,0.8960800170898438,0.873210072517395,0.8459598422050476,0.8146332502365112,-0.004836976528167725,0.018032968044281006,0.04528319835662842,0.0766097903251648
3dgs,MP360,room,3dgs_room_DSCF4859.JPG.png,SSIM,0.9209684133529663,0.918756902217865,0.8914119005203247,0.8428103923797607,0.7888072729110718,0.0022115111351013184,0.0295565128326416,0.07815802097320557,0.13216114044189453
3dgs,MP360,room,3dgs_room_DSCF4867.JPG.png,SSIM,0.9216122031211853,0.9119440317153931,0.9105122685432434,0.893045961856842,0.8762913346290588,0.009668171405792236,0.011099934577941895,0.02856624126434326,0.045320868492126465
3dgs,MP360,room,3dgs_room_DSCF4875.JPG.png,SSIM,0.9359294176101685,0.9325659275054932,0.9081891179084778,0.887054443359375,0.901089072227478,0.003363490104675293,0.027740299701690674,0.04887497425079346,0.03484034538269043
3dgs,MP360,room,3dgs_room_DSCF4883.JPG.png,SSIM,0.9082561135292053,0.9082328081130981,0.8766674399375916,0.8547995090484619,0.7534793019294739,2.3305416107177734e-05,0.03158867359161377,0.05345660448074341,0.15477681159973145
3dgs,MP360,room,3dgs_room_DSCF4891.JPG.png,SSIM,0.9081369042396545,0.8916361331939697,0.8461288213729858,0.799298882484436,0.7375335097312927,0.016500771045684814,0.0620080828666687,0.1088380217552185,0.17060339450836182
3dgs,MP360,room,3dgs_room_DSCF4899.JPG.png,SSIM,0.9079857468605042,0.8886978626251221,0.8530455827713013,0.8113311529159546,0.8116639852523804,0.01928788423538208,0.05494016408920288,0.09665459394454956,0.09632176160812378
3dgs,MP360,room,3dgs_room_DSCF4907.JPG.png,SSIM,0.8879563212394714,0.8826024532318115,0.846383810043335,0.8595336079597473,0.7714926600456238,0.005353868007659912,0.041572511196136475,0.02842271327972412,0.11646366119384766
3dgs,MP360,room,3dgs_room_DSCF4915.JPG.png,SSIM,0.8518235683441162,0.8853803277015686,0.8697459101676941,0.8482827544212341,0.8054630756378174,-0.03355675935745239,-0.01792234182357788,0.00354081392288208,0.04636049270629883
3dgs,MP360,room,3dgs_room_DSCF4923.JPG.png,SSIM,0.9272958040237427,0.9070780873298645,0.8886209726333618,0.8852444887161255,0.8779611587524414,0.020217716693878174,0.03867483139038086,0.04205131530761719,0.04933464527130127
3dgs,MP360,room,3dgs_room_DSCF4931.JPG.png,SSIM,0.9228973388671875,0.8875574469566345,0.8539962768554688,0.8319939374923706,0.8385974168777466,0.03533989191055298,0.06890106201171875,0.0909034013748169,0.08429992198944092
3dgs,MP360,room,3dgs_room_DSCF4939.JPG.png,SSIM,0.938201904296875,0.9059311151504517,0.8314951062202454,0.7673574686050415,0.7186933159828186,0.03227078914642334,0.10670679807662964,0.1708444356918335,0.2195085883140564
3dgs,MP360,room,3dgs_room_DSCF4947.JPG.png,SSIM,0.9505528211593628,0.9433878660202026,0.9237867593765259,0.9138687252998352,0.9276900291442871,0.007164955139160156,0.026766061782836914,0.03668409585952759,0.022862792015075684
3dgs,MP360,room,3dgs_room_DSCF4955.JPG.png,SSIM,0.8702436089515686,0.8564846515655518,0.8027803897857666,0.7172718048095703,0.8001736998558044,0.013758957386016846,0.067463219165802,0.1529718041419983,0.07006990909576416
3dgs,MP360,room,3dgs_room_DSCF4963.JPG.png,SSIM,0.9301691651344299,0.8700275421142578,0.9002339243888855,0.8260791897773743,0.882937490940094,0.06014162302017212,0.029935240745544434,0.10408997535705566,0.04723167419433594
3dgs,MP360,room,3dgs_room_DSCF4971.JPG.png,SSIM,0.8897978067398071,0.8613928556442261,0.8287067413330078,0.812376856803894,0.6984884738922119,0.028404951095581055,0.061091065406799316,0.07742094993591309,0.19130933284759521
3dgs,MP360,room,3dgs_room_DSCF4667.JPG.png,PSNR,30.027359008789062,29.536224365234375,28.524799346923828,25.91733169555664,22.38919448852539,0.4911346435546875,1.5025596618652344,4.110027313232422,7.638164520263672
3dgs,MP360,room,3dgs_room_DSCF4675.JPG.png,PSNR,33.50254440307617,35.24876022338867,32.8701057434082,29.057174682617188,24.75084686279297,-1.7462158203125,0.6324386596679688,4.445369720458984,8.751697540283203
3dgs,MP360,room,3dgs_room_DSCF4683.JPG.png,PSNR,33.82788848876953,34.943824768066406,33.650020599365234,28.97108268737793,26.04265022277832,-1.115936279296875,0.17786788940429688,4.856805801391602,7.785238265991211
3dgs,MP360,room,3dgs_room_DSCF4691.JPG.png,PSNR,34.90851593017578,34.38822937011719,33.50735855102539,30.08669662475586,26.698802947998047,0.5202865600585938,1.4011573791503906,4.821819305419922,8.209712982177734
